run_file,run_id,run_name,created_at_utc,notes,persist_directory,collection_name,doc_count,vector_count,search_type,k,fetch_k,lambda_mult,qe_enabled,qe_n,qe_model,k_per_query,fusion,rrf_k0,answered_with_llm,cases,avg_retrieval_latency_ms,avg_context_docs,avg_context_chars,avg_distinct_episodes_in_context,avg_distinct_sources_in_context,avg_top_episode_share_in_context,avg_episode_entropy_norm_in_context,avg_aggregation_readiness_score,avg_aggregation_readiness_score_agg_questions,episode_citation_rate,quote_in_context_rate,grounding_failure_rate,retrieval_empty_rate,retrieval_failure_rate,idk_rate,avg_total_tokens,avg_cited_episode_ids_not_in_context,errors_count
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,db/chroma_db,,,,similarity,3,,,,,,,,,True,7,399,3.0,2477.8571428571427,,,,,,,0.2857142857142857,,,0.0,,0.0,811,,0
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,Tuning: increase k to 12 (same similarity),db/chroma_db,,,,similarity,12,,,,,,,,,True,7,485,12.0,9999.857142857143,,,,,,,0.42857142857142855,,,0.0,,0.0,2892,,0
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,Tuning: MMR k=12 fetch_k=40 lambda=0.7,db/chroma_db,,,,mmr,12,40,0.7,,,,,,,True,7,0,0.0,0.0,,,,,,,0.0,,,1.0,,1.0,97,,7
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,"Baseline: similarity k=3, episode-level docs, no metadata routing",db/chroma_db,,,,similarity,3,,,,,,,,,True,7,460,3.0,2477.8571428571427,,,,,,,0.0,,,0.0,,0.0,861,,0
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,Tuning: MMR k=12 fetch_k=40 lambda=0.7 (fixed mmr impl),db/chroma_db,,,,mmr,12,40,0.7,,,,,,,True,7,813,12.0,9130.57142857143,,,,,,,0.2857142857142857,,,0.0,,0.0,2750,,0
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,db/chroma_db_scene,,,,mmr,12,40,0.7,,,,,,,True,7,693,12.0,5767.285714285715,,,,,,,0.2857142857142857,,,0.0,,0.14285714285714285,1808,,0
experiments/runs/2026-03-03T04-50-43Z_scene_chunks_similarity_k12.json,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12,2026-03-03T04:50:43Z,"Scene Chunks, Removed MMR",db/chroma_db_scene,,,,similarity,12,,,,,,,,,True,7,303,12.0,7232.857142857143,,,,,,,0.42857142857142855,,,0.0,,0.14285714285714285,2236,,0
experiments/runs/2026-03-03T05-01-53Z_scene_chunks_mmr_k12_fetch80_lambda09.json,2026-03-03T05-01-53Z_scene_chunks_mmr_k12_fetch80_lambda09,scene_chunks_mmr_k12_fetch80_lambda09,2026-03-03T05:01:53Z,,db/chroma_db_scene,,,,mmr,12,80,0.9,,,,,,,True,7,637,12.0,6908.0,,,,,,,0.2857142857142857,,,0.0,,0.14285714285714285,2127,,0
experiments/runs/2026-03-03T05-40-45Z_qe_rrf_similarity_k12.json,2026-03-03T05-40-45Z_qe_rrf_similarity_k12,qe_rrf_similarity_k12,2026-03-03T05:40:45Z,Query expansion + RRF fusion (retrieval-only),db/chroma_db,,,,similarity,12,,,True,5,gpt-4.1-nano,6,rrf,60,True,7,2213,11.857142857142858,9676.857142857143,,,,,,,0.42857142857142855,,,0.0,,0.0,2863,,0
experiments/runs/2026-03-03T05-46-17Z_qe_rrf_mmr_k12.json,2026-03-03T05-46-17Z_qe_rrf_mmr_k12,qe_rrf_mmr_k12,2026-03-03T05:46:17Z,Query expansion + RRF fusion + MMR,db/chroma_db,,,,mmr,12,40,0.7,True,5,gpt-4.1-nano,6,rrf,60,True,7,2746,12.0,9153.714285714286,,,,,,,0.2857142857142857,,,0.0,,0.0,2760,,0
